Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
0,790149669.1843239,2025-01-14 18:00:00+00:00,42190.64650510271,0.00041005566107413385,1.3599592201475865,257.29404479272654,73.2214149307871,17.6375870462313,0,0
1,790150669.1843239,2025-01-14 18:16:40+00:00,42190.47909112052,0.0004048428917613612,1.359962762733229,257.29112458581585,73.62310525406126,21.416118130699473,0,0
2,790151669.1843239,2025-01-14 18:33:19.999999+00:00,42190.31323784579,0.0003993801055731605,1.3599707549343092,257.28842206470483,74.01797769428823,25.201151292149667,0,0
3,790152669.1843239,2025-01-14 18:49:59.999999+00:00,42190.152094798446,0.0003937239549981701,1.3599824015269182,257.2859614141617,74.4072047264294,28.99147650658336,0,0
4,790153669.1843239,2025-01-14 19:06:39.999999+00:00,42189.99875579903,0.00038792799386752494,1.3599968297786915,257.28376229080453,74.7929311016512,32.784917042566356,0,0
5,790154669.1843239,2025-01-14 19:23:19.999998+00:00,42189.85620566294,0.0003820413603218204,1.360013103647915,257.28183939902004,75.17821635634965,36.578387427225096,0,0
6,790155669.1843239,2025-01-14 19:39:59.999998+00:00,42189.72726771954,0.0003761076682123798,1.3600302393116694,257.28020214076105,75.5669340458584,40.3679945998686,0,0
7,790156669.1843239,2025-01-14 19:56:39.999998+00:00,42189.61455285086,0.0003701641580597287,1.3600472218307753,257.2788543461435,75.96362617731465,44.14918377191539,0,0
8,790157669.1843239,2025-01-14 20:13:19.999997+00:00,42189.52041074105,0.000364241148819898,1.360063022757422,257.27779409113543,76.3733141335054,47.916927695281515,0,0
9,790158669.1843239,2025-01-14 20:29:59.999997+00:00,42189.446884028366,0.0003583618178854989,1.3600766184604292,257.2770136079736,76.8012704965548,51.665954925196814,0,0
10,790159669.1843239,2025-01-14 20:46:39.999997+00:00,42189.395666052485,0.0003525423196795158,1.360087008932851,257.2764992932486,77.25275921941842,55.391009625187806,0,0
11,790160669.1843239,2025-01-14 21:03:19.999996+00:00,42189.36806289495,0.00034679223421981966,1.3600932368236063,257.2762318178511,77.73275414872992,59.087132907319,0,0
12,790161669.1843239,2025-01-14 21:19:59.999996+00:00,42189.364960418105,0.00034111531791852795,1.3600944064138896,257.2761863421247,78.24564763103096,62.74995397330679,0,0
13,790162669.1843239,2025-01-14 21:36:39.999996+00:00,42189.38679701911,0.00033551051161128515,1.360089702242167,257.27633283860274,78.79496162345234,66.37597863421334,0,0
14,790163669.1843239,2025-01-14 21:53:19.999995+00:00,42189.43354282413,0.0003299731471773065,1.3600784070518583,257.2766365235467,79.38307335099935,69.96286316664398,0,0
15,790164219.1843287,2025-01-14 22:02:30+00:00,42234.17340185026,0.001200809049704421,0.9280171254014814,4.816332061220805,29.10340328955262,15.009677507433912,0,0
16,790165219.1843287,2025-01-14 22:19:10+00:00,42234.25912933802,0.0012009289878167398,0.9280332746507095,4.817375758500074,29.416492849362857,18.872757446451164,0,0
