Step,Time,Datetime,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
0,790149669.1843239,2025-01-14 18:00:00+00:00,41264.2396,-8655.6642909999,-101.829481,0.631648,3.009276,-0.001085,0,0
1,790150169.1843239,2025-01-14 18:08:20+00:00,41552.56457195197,-7145.606932039864,-102.30463417314893,0.5215243748472815,3.0302842165428934,-0.0008153931026656106,0,0
2,790150669.1843239,2025-01-14 18:16:40+00:00,41785.64866268409,-5626.051610937444,-102.64468419720747,0.4107089612919919,3.0472636595620513,-0.0005446469229479888,0,0
3,790151169.1843239,2025-01-14 18:25:00+00:00,41963.18278304124,-4099.018551425184,-102.84915083702262,0.2993491147967885,3.06019187700835,-0.0002731192997154178,0,0
4,790151669.1843239,2025-01-14 18:33:19.999999+00:00,42084.93170817222,-2566.5378570956896,-102.91773305938682,0.1875929043388122,3.069051805722223,-1.1691226272489874e-06,0,0
5,790152169.1843239,2025-01-14 18:41:39.999999+00:00,42150.734385050564,-1030.6468112080315,-102.85030943945705,0.07558891534074627,3.073831793229358,0.00027084414390928207,0,0
6,790152669.1843239,2025-01-14 18:49:59.999999+00:00,42160.50414129826,506.61283260255686,-102.64693832899954,-0.03651394800432996,3.074525612329067,0.0005425609372867505,0,0
7,790153169.1843239,2025-01-14 18:58:19.999999+00:00,42114.228795075294,2043.1975651046457,-102.30785778636788,-0.14856666075075353,3.071132468463333,0.0008136220731096119,0,0
8,790153669.1843239,2025-01-14 19:06:39.999999+00:00,42011.97066592946,3577.0648381295664,-101.83348526844203,-0.26042027529746015,3.0636569998641576,0.0010836692208321594,0,0
9,790154169.1843239,2025-01-14 19:14:59.999999+00:00,41853.86648663252,5106.175779499918,-101.22441708507453,-0.37192611930182784,3.052109270486387,0.0013523453779864208,0,0
10,790154669.1843239,2025-01-14 19:23:19.999998+00:00,41640.1272161598,6628.497902624127,-100.48142761690706,-0.4829359931484061,3.0365047557426643,0.0016192953423674193,0,0
11,790155169.1843239,2025-01-14 19:31:39.999998+00:00,41371.03775410104,8142.007807164251,-99.60546829773604,-0.5933023667120146,3.0168643210665578,0.0018841661815474382,0,0
12,790155669.1843239,2025-01-14 19:39:59.999998+00:00,41046.956556920035,9644.693867199554,-98.59766636291894,-0.7028785751562869,2.99321419333919,0.0021466076990959817,0,0
13,790156169.1843239,2025-01-14 19:48:19.999998+00:00,40668.31515660982,11134.55890332836,-97.4593233656228,-0.8115190135106376,2.9655859252238987,0.002406272896887953,0,0
14,790156669.1843239,2025-01-14 19:56:39.999998+00:00,40235.61758241779,12609.62283517522,-96.1919134630241,-0.919079329770846,2.93401635246251,0.0026628184328892517,0,0
