Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
0,790149669.1843239,2025-01-14 18:00:00+00:00,42167.12671777068,0.0001742184720824965,0.1398457777523546,86.45806293025844,211.6875236988567,50.007726528472254,0,0
1,790150169.1843239,2025-01-14 18:08:20+00:00,42167.042021948226,0.00017129850250348347,0.13985010546426507,86.4719566609444,211.59954647381326,52.17105474331038,0,0
2,790150669.1843239,2025-01-14 18:16:40+00:00,42166.95723310947,0.0001683320929694487,0.13985310270106596,86.48545614559397,211.4867622133595,54.359561530943985,0,0
3,790151169.1843239,2025-01-14 18:25:00+00:00,42166.872752096875,0.00016532602524138034,0.13985484250135363,86.49852436374434,211.349184884736,56.573269718598404,0,0
4,790151669.1843239,2025-01-14 18:33:19.999999+00:00,42166.788980027006,0.00016228676104756927,0.1398554041531326,86.51112621069703,211.18694637073642,58.81208236156812,0,0
5,790152169.1843239,2025-01-14 18:41:39.999999+00:00,42166.706316597716,0.00015922039252208245,0.13985487290322673,86.52322866500629,211.00029885328854,61.07578019225712,0,0
6,790152669.1843239,2025-01-14 18:49:59.999999+00:00,42166.625158390074,0.00015613259613464486,0.1398533396383063,86.53480094976005,210.78961541848304,63.364020853770484,0,0
7,790153169.1843239,2025-01-14 18:58:19.999999+00:00,42166.545897170916,0.00015302859093095414,0.13985090054256688,86.54581468702574,210.55538857904227,65.67634022269358,0,0
8,790153669.1843239,2025-01-14 19:06:39.999999+00:00,42166.46891820112,0.00014991310190114377,0.1398476567240635,86.55624404482643,210.29822640971307,68.01215612620852,0,0
9,790154169.1843239,2025-01-14 19:14:59.999999+00:00,42166.39459855553,0.00014679032929634824,0.13984371380691507,86.56606587600686,210.01884601399763,70.37077473577912,0,0
10,790154669.1843239,2025-01-14 19:23:19.999998+00:00,42166.32330545932,0.0001436639246685496,0.13983918153351152,86.57525984834305,209.71806405789857,72.75139990237467,0,0
11,790155169.1843239,2025-01-14 19:31:39.999998+00:00,42166.25539464707,0.00014053697436650423,0.13983417331922535,86.58380856524494,209.39678415348646,75.15314565107987,0,0
12,790155669.1843239,2025-01-14 19:39:59.999998+00:00,42166.19120874929,0.00013741199112533896,0.13982880577250165,86.59169767639823,209.05598090923564,77.5750520188026,0,0
