Step,Time,Datetime,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
52,793613669.1852885,2025-02-23 20:13:19.999995+00:00,34098.801937570155,24786.33532055682,-74.30225204717283,-1.8070354509645865,2.488425469458925,0.004765004459242427,0,0
53,793614169.1852885,2025-02-23 20:21:39.999995+00:00,33172.80744742169,26013.78848827481,-71.87067766276955,-1.896531202148156,2.420843606211973,0.004960225154405512,0,0
54,793614669.1852885,2025-02-23 20:29:59.999994+00:00,32202.69194350155,27206.64285207588,-69.34311652311578,-1.9834999793273114,2.3500456564746015,0.005148908774642946,0,0
55,793615169.1852885,2025-02-23 20:38:19.999994+00:00,31189.74792047091,28363.313828026003,-66.7229004970445,-2.067826329677332,2.276126157739163,0.005330803477029325,0,0
56,793615669.1852885,2025-02-23 20:46:39.999994+00:00,30135.32471997528,29482.265140659718,-64.0134851231723,-2.149398343118462,2.19918378462643,0.005505666480044424,0,0
57,793616169.1852885,2025-02-23 20:54:59.999994+00:00,29040.826722127316,30562.010858450703,-61.218444998208696,-2.22810780006917,2.119321215621981,0.005673264385399795,0,0
58,793616669.1852885,2025-02-23 21:03:19.999994+00:00,27907.71146436723,31601.117361332428,-58.341469007574204,-2.303850314151294,2.036644994571713,0.005833373486911764,0,0
59,793617169.1852885,2025-02-23 21:11:39.999994+00:00,26737.487690270962,32598.205237696493,-55.38635540490088,-2.376525469663981,1.9512653871299652,0.005985780066035681,0,0
60,793617669.1852885,2025-02-23 21:19:59.999994+00:00,25531.713330965944,33551.95110839469,-52.35700674717714,-2.4460369536508684,1.8632962323599125,0.006130280673695475,0,0
61,793618169.1852885,2025-02-23 21:28:19.999994+00:00,24291.993421900042,34461.08937537201,-49.2574246924765,-2.512292682392681,1.7728547896917748,0.006266682398061925,0,0
62,793618669.1852885,2025-02-23 21:36:39.999994+00:00,23019.977957791376,35324.413892662065,-46.09170466737858,-2.575204922165332,1.6800615814499626,0.006394803117952822,0,0
63,793619169.1852885,2025-02-23 21:44:59.999993+00:00,21717.359688664485,36140.77955758335,-42.864030411348885,-2.634690404111687,1.5850402311655392,0.0065144717415481865,0,0
64,793619669.1852885,2025-02-23 21:53:19.999993+00:00,20385.87185995231,36909.10382008401,-39.57866840549234,-2.6906704330833886,1.4879172978953463,0.006625528430133919,0,0
65,793620169.1852885,2025-02-23 22:01:39.999993+00:00,19027.285899713082,37628.368108294875,-36.23996219323374,-2.7430709903174986,1.3888221067737745,0.00672782480660774,0,0
66,793620669.1852885,2025-02-23 22:09:59.999993+00:00,17643.409056076776,38297.619168464415,-32.85232660060631,-2.7918228298212444,1.2878865760274874,0.006821224148501942,0,0
67,793621169.1852885,2025-02-23 22:18:19.999993+00:00,16236.081988096945,38915.970317565545,-29.420241863946856,-2.8368615683467557,1.1852450406874195,0.006905601565298321,0,0
68,793621669.1852885,2025-02-23 22:26:39.999993+00:00,14807.176313240667,39482.60260698224,-25.948247672903282,-2.8781277688464284,1.0810340732360446,0.006980844159831676,0,0
69,793622169.1852885,2025-02-23 22:34:59.999993+00:00,13358.592114801773,39996.76589580386,-22.440937136756688,-2.9155670173083785,0.9753923014312806,0.007046851173599413,0,0
70,793622669.1852885,2025-02-23 22:43:19.999993+00:00,11892.255412570612,40457.779832376385,-18.90295068214614,-2.9491299928803665,0.8684602235514364,0.007103534115816082,0,0
71,793623169.1852885,2025-02-23 22:51:39.999993+00:00,10410.115600137127,40865.03474288289,-15.338969890359547,-2.978772531199558,0.7603800213083145,0.0071508168760730136,0,0
72,793623669.1852885,2025-02-23 22:59:59.999992+00:00,8914.14285224312,41217.99242584949,-11.753711282418509,-3.0044556808545475,0.6512953706779839,0.0071886358204847015,0,0
73,793624169.1852885,2025-02-23 23:08:19.999992+00:00,7406.3255056340495,41516.186851598475,-8.151920060238954,-3.026145752915177,0.5413512509007895,0.007216939871225066,0,0
74,793624669.1852885,2025-02-23 23:16:39.999992+00:00,5888.6674168907075,41759.22476579654,-4.5383638121923005,-3.043814363474824,0.4306937519039133,0.007235690569378247,0,0
75,793625169.1852885,2025-02-23 23:24:59.999992+00:00,4363.185300746415,41946.786196372916,-0.9178261914242527,-3.0574384691590186,0.3194698804012114,0.007244862121050128,0,0
76,793625669.1852885,2025-02-23 23:33:19.999992+00:00,2831.906052416234,42078.62486321005,2.7048994246901765,-3.0670003955634466,0.20782736492613996,0.007244441426708323,0,0
77,793626169.1852885,2025-02-23 23:41:39.999992+00:00,1296.8640574807928,42154.568490137455,6.325016285566056,-3.072487858593593,0.09591446005435239,0.007234428093739818,0,0
78,793626669.1852885,2025-02-23 23:49:59.999992+00:00,-239.9015071210656,42174.51901888787,9.93773062051293,-3.0738939786875044,-0.01612024992701333,0.007214834432236905,0,0
79,793627169.1852885,2025-02-23 23:58:19.999992+00:00,-1776.3493774296574,42138.4527248032,13.538257985545474,-3.0712172879123294,-0.12812804764621089,0.007185685434043382,0,0
80,793627669.1852885,2025-02-24 00:06:39.999992+00:00,-3310.438908568325,42046.420234206635,17.121829595542955,-3.0644617299344685,-0.23996027931298347,0.007147018735114236,0,0
81,793628169.1852885,2025-02-24 00:14:59.999992+00:00,-4840.132779052459,41898.54644348526,20.683698633431955,-3.053636652872316,-0.35146855116745546,0.007098884561263131,0,0
82,793628669.1852885,2025-02-24 00:23:19.999992+00:00,-6363.399689749115,41695.03034005587,24.219146528109214,-3.0387567950496575,-0.4625049254562224,0.0070413456573929865,0,0
83,793629169.1852885,2025-02-24 00:31:39.999991+00:00,-7878.2170539439585,41436.14472551391,27.723489192874272,-3.0198422636768445,-0.5729221156811949,0.006974477200325723,0,0
84,793629669.1852885,2025-02-24 00:39:59.999991+00:00,-9382.573674988067,41122.23584139259,31.192083216204836,-2.996918506495833,-0.6825736808682039,0.006898366695367836,0,0
85,793630169.1852885,2025-02-24 00:48:19.999991+00:00,-10874.47240801742,40753.72289808514,34.62033199678118,-2.9700162764340936,-0.7913142186041481,0.006813113856768851,0,0
86,793630669.1852885,2025-02-24 00:56:39.999991+00:00,-12351.932802262578,40331.0975076083,38.0036918147495,-2.939171589321214,-0.8989995565935276,0.006718830472249832,0,0
87,793631169.1852885,2025-02-24 01:04:59.999991+00:00,-13812.9937204952,39854.92302100911,41.33767783130766,-2.9044256747307453,-1.0054869424875883,0.0066156402517989895,0,0
88,793631669.1852885,2025-02-24 01:13:19.999991+00:00,-15255.715932191444,39325.83377134001,44.61787000880025,-2.8658249200184724,-1.1106352317419659,0.006503678660951035,0,0
89,793632169.1852885,2025-02-24 01:21:39.999991+00:00,-16678.184677030025,38744.5342232482,47.83991894362307,-2.8234208076368,-1.214305073261686,0.006383092738786209,0,0
90,793632669.1852885,2025-02-24 01:29:59.999991+00:00,-18078.512195384694,38111.798030345315,50.99955160435963,-2.7772698458133296,-1.3163590925956292,0.0062540409009038496,0,0
91,793633169.1852885,2025-02-24 01:38:19.999991+00:00,-19454.840222516923,37428.467001641446,54.09257696770482,-2.7274334926899693,-1.4166620724461056,0.006116692727643983,0,0
92,793633669.1852885,2025-02-24 01:46:39.999990+00:00,-20805.342443224905,36695.44997844364,57.114891544871654,-2.673978074027024,-1.5150811302630014,0.005971228737848663,0,0
93,793634169.1852885,2025-02-24 01:54:59.999990+00:00,-22128.226903759074,35913.72162323353,60.062484791327805,-2.616974694584678,-1.611485892696053,0.0058178401484725965,0,0
94,793634669.1852885,2025-02-24 02:03:19.999990+00:00,-23421.738377872614,35084.32112215058,62.93144439286754,-2.5564991433020876,-1.7057486666831556,0.005656728620370071,0,0
95,793635169.1852885,2025-02-24 02:11:39.999990+00:00,-24684.160683937396,34208.35080281763,65.71796142119251,-2.492631792401927,-1.7977446069572427,0.0054881059906021325,0,0
