Step,Time,X,Y,Z,Vx,Vy,Vz,Eclipse_status_Earth,Eclipse_status_Moon
31,1550.0,-4981.338697460395,-4886.630786008337,788.6776271396179,3.126191753525634,-4.297586078795917,-6.155894779042131,0,0
32,1600.0,-4816.749755150458,-5093.182409484795,479.728170390349,3.4555629704322826,-3.9621281829903316,-6.19862103950468,0,0
33,1650.0,-4635.988622733068,-5282.635556784374,169.16459784919758,3.7727974561317987,-3.6139446337280376,-6.220432772493785,0,0
34,1700.0,-4439.689843360135,-5454.3848326180105,-141.96715522809416,4.076860672192196,-3.2542210017078883,-6.22135252270124,0,0
35,1750.0,-4228.5381083629045,-5607.886390544871,-452.62329764442165,4.366797962091544,-2.8842021727669014,-6.201424197495803,2,0
36,1800.0,-4003.262742454528,-5742.657426989179,-761.7645733828393,4.641701222179366,-2.505148865301035,-6.160776732957179,2,0
37,1850.0,-3764.6359071336647,-5858.276350220762,-1068.359576701372,4.90070778023943,-2.1183395312378352,-6.099608154837592,2,0
38,1900.0,-3513.4711020655004,-5954.385181111617,-1371.388024683821,5.143015305146647,-1.7250684364083633,-6.018174369815958,2,0
39,1950.0,-3250.623657520854,-6030.695617225407,-1669.8449950052122,5.367876168575761,-1.3266474905269319,-5.916813176600258,2,0
40,2000.0,-2976.9845270206292,-6086.984819421217,-1962.7439397786143,5.574605375979887,-0.9243962707538269,-5.795921229279737,2,0
41,2050.0,-2693.475446849024,-6123.093546078595,-2249.119266259847,5.762581807680242,-0.5196349777871659,-5.65594311915295,2,0
42,2100.0,-2401.048012208169,-6138.928825698543,-2528.028979502842,5.931244912377431,-0.11368509941892174,-5.497383454276405,2,0
43,2150.0,-2100.680888243147,-6134.464317325204,-2798.5576115258905,6.080097176368302,0.29213461382183414,-5.320805289647572,2,0
44,2200.0,-1793.375737233617,-6109.739691177797,-3059.8196830669126,6.208705767185916,0.6965137166584737,-5.126824923948795,2,0
45,2250.0,-1480.1541670787688,-6064.859683754948,-3310.9616711749773,6.316701788546935,1.0981505348315375,-4.916108108688265,2,0
46,2300.0,-1162.0545633449476,-5999.993238893841,-3551.1642428053738,6.403780291060398,1.4957582948608728,-4.689369803971599,2,0
47,2350.0,-840.1291367454971,-5915.374616459953,-3779.6458610775408,6.469707820595694,1.8880790395263376,-4.447367893370003,2,0
48,2400.0,-515.4398799208491,-5811.298649126225,-3995.662827199002,6.514309052042146,2.2738657663369337,-4.190905261510478,2,0
49,2450.0,-189.05605042325237,-5688.122932704898,-4198.513253408388,6.537474862261813,2.6518957891106476,-3.9208256644472526,2,0
50,2500.0,137.94926014719775,-5546.264483652278,-4387.537630589961,6.5391601228728184,3.0209753889090445,-3.6380101319538745,2,0
51,2550.0,464.50229178148044,-5386.200335940425,-4562.1222147844055,6.519385224901353,3.379942426534907,-3.343375347546862,2,0
52,2600.0,789.5318582337952,-5208.464075981491,-4721.699304207281,6.4782334329140765,3.7276675645039776,-3.0378699033438994,2,0
53,2650.0,1111.9723285297002,-5013.644160612405,-4865.748681928361,6.415849843579221,4.06305626644882,-2.722472372486871,2,0
54,2700.0,1430.7668277909775,-4802.382240641007,-4993.799083159122,6.332444619997592,4.385052402962771,-2.3981825437423523,2,0
55,2750.0,1744.871174946763,-4575.3766921487695,-5105.4342744574005,6.228292910874668,4.692648671931262,-2.0660303014849166,2,0
56,2800.0,2053.255733076104,-4333.372895888031,-5200.288445145425,6.103713499751175,4.984862428836197,-1.7270925815272316,2,0
57,2850.0,2354.908726623164,-4077.1621815445887,-5278.048059046908,5.9591039556636485,5.260772391868895,-1.3824278368463423,2,0
58,2900.0,2648.839949455001,-3807.5822527189516,-5338.454371167788,5.794913463207863,5.5195018391778525,-1.0331267911730615,2,0
59,2950.0,2934.0831309404834,-3525.51360128268,-5381.303903171684,5.611649701663956,5.760220743511798,-0.6802962968814895,2,0
60,3000.0,3209.69851066325,-3231.876244354637,-5406.447962255543,5.409875879314591,5.98215120359235,-0.3250523949542079,2,0
61,3050.0,3474.7746591194978,-2927.626453194872,-5413.791744121833,5.190209345035935,6.1845672045920725,0.03147996440360656,2,0
62,3100.0,3728.433255683503,-2613.7568728954056,-5403.298868908775,4.953322818557959,6.366800432117727,0.3881676513532557,2,0
63,3150.0,3969.8322011349405,-2291.29311751635,-5374.991613020073,4.699942524940016,6.528240834139794,0.7438735011075591,2,0
64,3200.0,4198.165916023784,-1961.2889092933383,-5328.947488610202,4.430843994689189,6.668333066052432,1.0974571427618631,2,0
65,3250.0,4412.668613991667,-1624.8237025210678,-5265.300223307557,4.146860027364648,6.786595839162645,1.4477892240881536,2,0
66,3300.0,4612.618291727117,-1283.0001335384213,-5184.241403553416,3.8488664071866885,6.8826036829930075,1.7937388494097553,2,0
67,3350.0,4797.337174559752,-936.940333376422,-5086.018240800324,3.5377807143260878,6.95598823579685,2.1341789672595777,2,0
68,3400.0,4966.1944891758485,-587.7830742100547,-4970.93393006596,3.214569668818464,7.00645584552373,2.467996946353092,2,0
69,3450.0,5118.6090627979775,-236.68020554324917,-4839.347149068741,2.880244176142081,7.0337810007500945,2.794095310938693,2,0
70,3500.0,5254.051279789685,115.20691208838429,-4691.671032358932,2.535853959781303,7.037806364861696,3.111392162079329,2,0
71,3550.0,5372.044861137907,466.7107187469525,-4528.372334610066,2.182486514437139,7.018446937576214,3.4188248313775675,2,0
72,3600.0,5472.168818208258,816.6615358821139,-4349.9704313062075,1.8212607310566227,6.975691031167433,3.7153513700345413,2,0
73,3650.0,5554.059629588684,1163.8907576661911,-4157.035843639845,1.4533438257861968,6.909596449217982,3.999972264065072,0,0
74,3700.0,5617.411745950064,1507.2345091357975,-3950.1884656566704,1.0799147232111816,6.820299712596679,4.271699404861983,0,0
75,3750.0,5661.97948391416,1845.5376031268925,-3730.0964779678525,0.7021906762814715,6.70801375691431,4.529587896310299,0,0
76,3800.0,5687.579618089509,2177.6575614901935,-3497.475270005084,0.3214076639731336,6.573026762550046,4.772728182234869,0,0
77,3850.0,5694.090245410496,2502.468000602635,-3253.0839655951463,-0.06117926838043458,6.415699853660237,5.000251409411652,0,0
78,3900.0,5681.452970465431,2818.8626207729267,-2997.7241158801457,-0.4442957960103742,6.236475169020158,5.211338075287938,0,0
79,3950.0,5649.674130443069,3125.759544274766,-2732.2375604901445,-0.8266566746907658,6.035871420659721,5.4052120343564125,0,0
80,4000.0,5598.823993377772,3422.1045132955937,-2457.50326223613,-1.2069685971242217,5.814482658504823,5.581150248380408,0,0
81,4050.0,5529.037942279921,3706.8750790420836,-2174.4351324900904,-1.5839340379756832,5.5729795793253745,5.738485004395724,0,0
82,4100.0,5440.515168788634,3979.0836418867893,-1883.9784532682925,-1.9562566697465982,5.3121056820195065,5.876606703603093,0,0
83,4150.0,5333.517605342154,4237.780324270347,-1587.1066635954362,-2.3226449549739407,5.03267542928848,5.994965117470208,0,0
84,4200.0,5208.371549287166,4482.057614379944,-1284.8192668289148,-2.681818722205109,4.735573949091547,6.0930746056937455,0,0
85,4250.0,5065.473272159315,4711.0577943441185,-978.1412045029358,-3.0325135961349847,4.4217626025622945,6.170523309879264,0,0
86,4300.0,4905.279773169312,4923.971781009983,-668.1153222149047,-3.3734863806584348,4.092266158258583,6.226965980667328,0,0
87,4350.0,4728.306712120121,5120.041611927897,-355.7986524880873,-3.7035202730942567,3.7481688245780727,6.262127179362294,0,0
88,4400.0,4535.130387248585,5298.565492411976,-42.259993200261505,-4.021413737988321,3.390630399888247,6.275817373681993,0,0
89,4450.0,4326.386922511878,5458.901013913759,271.4233832533313,-4.326017909150908,3.0208513628975653,6.267912731223723,0,0
90,4500.0,4102.769200087998,5600.468271533074,584.1705908664038,-4.616222367730851,2.640089999400837,6.2383694727832495,0,0
91,4550.0,3865.0240037639355,5722.75051316812,894.9003026189015,-4.890958559456807,2.2496505742093564,6.187223103655733,0,0
92,4600.0,3613.950294308592,5825.297367921231,1202.5349801558407,-5.149211484542841,1.8508819040679017,6.114590192841961,0,0
93,4650.0,3350.3959243670943,5907.726257512778,1506.004862758655,-5.390019413305096,1.4451711375216023,6.02066619667109,0,0
94,4700.0,3075.255465980967,5969.724881154554,1804.2519243728339,-5.612486838655778,1.0339454273477358,5.905735234243451,0,0
95,4750.0,2789.467661021707,6011.054128143557,2096.2344037464,-5.815774192300199,0.6186496288931976,5.77015179420714,0,0
96,4800.0,2494.0110174744486,6031.547289741516,2380.9303364141106,-5.999113995800835,0.2007544016157419,5.614353345412875,0,0
97,4850.0,2189.9006052750783,6031.111633271314,2657.3416018301014,-6.161812261396716,-0.21825259571901245,5.438857211763444,0,0
98,4900.0,1878.1844411841048,6009.728905336802,2924.497748010998,-6.303246731294111,-0.6368784779639154,5.244252407628593,0,0
99,4950.0,1559.9396362379862,5967.455821169163,3181.459748225726,-6.422875718879766,-1.0536252313392407,5.031204457242365,0,0
100,5000.0,1236.2680342929802,5904.42269415433,3427.3231921734227,-6.52023510979663,-1.4670003010507147,4.800451699183143,0,0
101,5050.0,908.2933189011032,5820.836266868763,3661.2231248373196,-6.594947213336111,-1.8755170417886653,4.552800471648563,0,0
102,5100.0,577.1553256968231,5716.976393337844,3882.3362453768905,-6.646725073625286,-2.2777050631305524,4.28912114149688,0,0
103,5150.0,244.00616565048006,5593.195498716394,4089.8840771072378,-6.675361119649222,-2.6721149603176713,4.010347054695057,0,0
104,5200.0,-89.99344226854095,5449.918045674379,4283.136239198023,-6.680734237165689,-3.0573317318346462,3.7174703278057324,0,0
105,5250.0,-423.67920212321644,5287.638578799248,4461.41361389425,-6.662813545156597,-3.431968371159803,3.4115370367253286,0,0
106,5300.0,-755.8876238884018,5106.9199405123445,4624.090642660413,-6.62165680304201,-3.794677037698196,3.093642367586578,0,0
107,5350.0,-1085.4602565404314,4908.391208128517,4770.597624304058,-6.557408861179296,-4.144157188144348,2.764926972359804,0,0
108,5400.0,-1411.2479958204408,4692.745268257714,4900.4229082075335,-6.47030135038794,-4.479158063495975,2.426572144765774,0,0
109,5450.0,-1732.1152947090766,4460.736252885685,5013.114717966764,-6.360651395281778,-4.798485326204212,2.079794040825831,0,0
110,5500.0,-2046.944676042712,4213.176487254711,5108.28290730556,-6.228860808327818,-5.101005061185073,1.7258390125314251,0,0
111,5550.0,-2354.641178418968,3950.9331682184547,5185.6004746056315,-6.075413689937603,-5.3856460796651096,1.3659795230576,0,0
112,5600.0,-2654.1357041928704,3674.9256703092155,5244.804396509817,-5.900875328971832,-5.651405179071523,1.00150827056873,0,0
113,5650.0,-2944.3889775103326,3386.121931211262,5285.696551222667,-5.705886728858429,-5.89735391490415,0.6337319805606964,0,0
114,5700.0,-3224.3961675256674,3085.53398273527,5308.144570220078,-5.491163312478707,-6.122641035850381,0.26396585249870197,0,0
115,5750.0,-3493.189722149604,2774.2148636156553,5312.082017215683,-5.257491679797647,-6.326493495936279,-0.1064698234862653,0,0
