Step,Time,Datetime,a,e,i,RAAN,aop,ta,Eclipse_status_Earth,Eclipse_status_Moon
48,793611669.1852885,2025-02-23 19:39:59.999995+00:00,42166.6258201657,0.0005462604207249794,0.13446393754753866,84.6918610388043,249.8393755359697,53.12181296983269,0,0
49,793612169.1852885,2025-02-23 19:48:19.999995+00:00,42166.63066754354,0.0005440758122729267,0.13446885999309321,84.68875565348111,250.02406177927924,55.03039461437786,0,0
50,793612669.1852885,2025-02-23 19:56:39.999995+00:00,42166.63896711842,0.0005418839948976563,0.1344748744096386,84.6852446467888,250.20903398881845,56.9390281180538,0,0
51,793613169.1852885,2025-02-23 20:04:59.999995+00:00,42166.65069300731,0.0005396849087880224,0.13448204055017754,84.68136689321408,250.39419657305498,58.84776902120395,0,0
52,793613669.1852885,2025-02-23 20:13:19.999995+00:00,42166.66580603405,0.000537478403377947,0.13449041176066492,84.67716256737717,250.57942950346487,60.75669609021985,0,0
53,793614169.1852885,2025-02-23 20:21:39.999995+00:00,42166.68425386843,0.0005352642601043729,0.13450003484427436,84.67267295107021,250.76458708112915,62.665912744274976,0,0
54,793614669.1852885,2025-02-23 20:29:59.999994+00:00,42166.70597119533,0.0005330422158374593,0.13451094996433666,84.66794023971653,250.94949688690988,64.57554829895211,0,0
55,793615169.1852885,2025-02-23 20:38:19.999994+00:00,42166.7308799139,0.0005308119868061844,0.13452319056977557,84.66300734894973,251.13395892458897,66.48575901668406,0,0
56,793615669.1852885,2025-02-23 20:46:39.999994+00:00,42166.75888936766,0.0005285732928623561,0.13453678334853242,84.65791772198473,251.31774496811244,68.39672895219627,0,0
57,793616169.1852885,2025-02-23 20:54:59.999994+00:00,42166.78989660691,0.0005263258819168309,0.13455174821174026,84.65271513842575,251.5005981229442,70.30867058230632,0,0
58,793616669.1852885,2025-02-23 21:03:19.999994+00:00,42166.82378668392,0.0005240695543821246,0.13456809830055289,84.64744352513017,251.6822326104507,72.22182521054262,0,0
59,793617169.1852885,2025-02-23 21:11:39.999994+00:00,42166.86043298225,0.0005218041874582609,0.13458584003460256,84.64214676972135,251.86233378420724,74.13646313710211,0,0
60,793617669.1852885,2025-02-23 21:19:59.999994+00:00,42166.89969758067,0.0005195297590946598,0.13460497313979072,84.63686853731686,252.0405583856782,76.05288358613257,0,0
61,793618169.1852885,2025-02-23 21:28:19.999994+00:00,42166.94143165332,0.0005172463714668913,0.13462549077184605,84.63165209101388,252.2165350480975,77.97141438097464,0,0
62,793618669.1852885,2025-02-23 21:36:39.999994+00:00,42166.98547590601,0.0005149542738020286,0.1346473795758324,84.62654011664678,252.38986505452175,79.89241136087983,0,0
63,793619169.1852885,2025-02-23 21:44:59.999993+00:00,42167.03166104989,0.0005126538843887857,0.1346706198737968,84.62157455230722,252.56012335746476,81.81625753130972,0,0
64,793619669.1852885,2025-02-23 21:53:19.999993+00:00,42167.07980831298,0.0005103458116130202,0.13469518575847836,84.61679642309079,252.72685986665786,83.74336194081171,0,0
65,793620169.1852885,2025-02-23 22:01:39.999993+00:00,42167.12972998972,0.0005080308738514252,0.1347210453041493,84.61224568150892,252.88960101044884,85.6741582785238,0,0
66,793620669.1852885,2025-02-23 22:09:59.999993+00:00,42167.181230028735,0.0005057101180629086,0.13474816074018864,84.60796105397903,253.04785157647993,87.60910318625845,0,0
67,793621169.1852885,2025-02-23 22:18:19.999993+00:00,42167.23410465901,0.0005033848369163696,0.134776488671183,84.60397989377964,253.20109683677384,89.54867427965435,0,0
68,793621669.1852885,2025-02-23 22:26:39.999993+00:00,42167.28814305351,0.0005010565842890075,0.13480598029202295,84.6003380408324,253.34880495993565,91.49336787533025,0,0
69,793622169.1852885,2025-02-23 22:34:59.999993+00:00,42167.34312803075,0.000498727188975775,0.13483658165736562,84.59706968864536,253.4904297153405,93.44369641883947,0,0
70,793622669.1852885,2025-02-23 22:43:19.999993+00:00,42167.39883679258,0.0004963987664450224,0.13486823391608863,84.59420725872774,253.62541346949354,95.40018561293357,0,0
71,793623169.1852885,2025-02-23 22:51:39.999993+00:00,42167.45504169737,0.0004940737284800735,0.13490087361064093,84.59178128275907,253.75319047399748,97.36337124641942,0,0
72,793623669.1852885,2025-02-23 22:59:59.999992+00:00,42167.511511067714,0.0004917547905423041,0.13493443295733323,84.58982029277063,253.87319044497485,99.33379572350898,0,0
73,793624169.1852885,2025-02-23 23:08:19.999992+00:00,42167.56801003024,0.000489444976698667,0.1349688401560872,84.58835071957093,253.98484242615672,101.31200430122122,0,0
74,793624669.1852885,2025-02-23 23:16:39.999992+00:00,42167.624301386284,0.00048714762195323675,0.13500401971057802,84.58739679962174,254.08757892987583,103.29854104039492,0,0
75,793625169.1852885,2025-02-23 23:24:59.999992+00:00,42167.68014651073,0.00048486637183002296,0.1350398927451414,84.58698049054601,254.1808403421147,105.29394448398476,0,0
76,793625669.1852885,2025-02-23 23:33:19.999992+00:00,42167.73530627682,0.00048260517905861363,0.1350763773507209,84.5871213954237,254.2640795758078,107.29874307828624,0,0
77,793626169.1852885,2025-02-23 23:41:39.999992+00:00,42167.7895420042,0.0004803682972213848,0.13511338894351327,84.58783669600788,254.33676695035751,109.31345035900219,0,0
78,793626669.1852885,2025-02-23 23:49:59.999992+00:00,42167.84261642663,0.00047816027123383437,0.13515084059574045,84.58914109496898,254.39839526875232,111.33855993065553,0,0
79,793627169.1852885,2025-02-23 23:58:19.999992+00:00,42167.894294677004,0.00047598592454037005,0.13518864342748413,84.59104676725175,254.4484850585346,113.37454027301973,0,0
80,793627669.1852885,2025-02-24 00:06:39.999992+00:00,42167.944345285054,0.00047385034293120605,0.1352267069461894,84.5935633206074,254.48658993320805,115.42182941791476,0,0
